Data Levantamento	Km inicial	Km final	Sentido	IRI (m/Km)	Flecha (mm)	IGG	Qtd. de Panelas	Trincamento (%)	Desgaste (%)	FC1 (%)	FC2 (%)	FC3 (%)	Afundamento (%)	Escorregamento (%)	Exsudacao (%)	Remendo (%)	ICS IRI	ICS IGG	ICS	Situação
13/04/2018	34	34.1	C	3.54	5.23	59	1.0 	11.0 	23.0 	0.0 	11.0 	0.0 	0.0 	0.0 	0.0 	0.0 	3	3	3	Regular
13/04/2018	34.1	34.2	C	4.70	5.04	69	1.0 	38.0 	10.0 	0.0 	28.0 	10.0 	0.0 	0.0 	0.0 	0.0 	2	3	2	Ruim
13/04/2018	34.2	34.3	C	2.87	4.16	33	0.0 	17.0 	19.0 	0.0 	0.0 	17.0 	0.0 	0.0 	0.0 	0.0 	4	4	4	Bom
13/04/2018	34.3	34.4	C	2.10	4.12	47	0.0 	43.0 	2.0 	0.0 	43.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	3	3	Regular
13/04/2018	34.4	34.5	C	2.29	4.72	56	0.0 	100.0 	0.0 	0.0 	100.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	3	3	Regular
13/04/2018	34.5	34.6	C	1.62	4.29	56	0.0 	84.0 	0.0 	0.0 	84.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	3	3	Regular
13/04/2018	34.6	34.7	C	1.85	3.40	34	0.0 	36.0 	0.0 	0.0 	36.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	4	4	Bom
13/04/2018	34.7	34.8	C	1.65	3.87	27	0.0 	9.0 	1.0 	0.0 	0.0 	9.0 	0.0 	0.0 	0.0 	0.0 	5	4	4	Bom
13/04/2018	34.8	34.9	C	1.11	6.85	9	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	5	5	Bom
13/04/2018	34.9	35	C	1.32	5.81	8	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	5	5	Bom
13/04/2018	35	35.1	C	1.79	3.34	24	0.0 	15.0 	0.0 	0.0 	15.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	4	4	Bom
13/04/2018	35.1	35.2	C	1.92	3.49	25	0.0 	12.0 	0.0 	0.0 	12.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	4	4	Bom
13/04/2018	35.2	35.3	C	2.03	3.63	15	0.0 	1.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	5	5	Bom
13/04/2018	35.31	35.41	C	1.28	5.02	7	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	5	5	Bom
13/04/2018	35.41	35.51	C	1.46	3.26	4	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	5	5	Bom
13/04/2018	35.51	35.61	C	3.58	5.66	45	1.0 	0.0 	27.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	3	3	3	Regular
13/04/2018	35.61	35.71	C	2.55	4.16	5	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	4	5	4	Bom
13/04/2018	35.71	35.81	C	2.85	3.59	43	1.0 	0.0 	20.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	4	3	3	Regular
13/04/2018	35.81	35.91	C	2.53	4.39	6	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	4	5	4	Bom
13/04/2018	35.91	36.01	C	2.35	5.21	7	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	5	5	Bom
13/04/2018	36.01	36.11	C	2.68	7.02	9	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	4	5	4	Bom
13/04/2018	36.11	36.21	C	1.79	4.51	6	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	5	5	Bom
13/04/2018	36.21	36.31	C	3.00	7.22	10	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	3	5	3	Regular
13/04/2018	36.31	36.41	C	2.40	6.55	33	0.0 	0.0 	12.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	5	4	4	Bom
13/04/2018	36.41	36.51	C	1.90	5.26	43	0.0 	13.0 	9.0 	0.0 	13.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	3	3	Regular
13/04/2018	36.51	36.61	C	1.89	5.72	58	0.0 	55.0 	0.0 	0.0 	55.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	3	3	Regular
13/04/2018	36.61	36.71	C	1.77	6.56	29	0.0 	17.0 	0.0 	0.0 	17.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	4	4	Bom
13/04/2018	36.71	36.81	C	2.43	9.13	88	0.0 	9.1 	0.0 	0.0 	9.1 	0.0 	0.0 	0.0 	0.0 	30.3 	5	2	2	Ruim
13/04/2018	36.81	36.91	C	1.76	4.81	47	0.0 	11.0 	0.0 	0.0 	11.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5	3	3	Regular
